For always telling me that I am fine the way I am and always remind me to love myself that way;1
I really liked how you supported me when I couldn't do something really simple;1
Thanks for encouraging me, it means a lot;1
Honey you mean a lot to me.;1 
You look like a princess.;1
I liked what you said about my hair today.;1
Your performance was phenomenal babe, I'm so proud of yoU!;1
Telling me I am good enough, I don't always have to be on the top;1
I really wanna say that I am so happy that you have my back, even when Im cranky or upset, youre always there for me.;1 
The outfit you wore to dinner last night was very cute.;1 
I love how you pull off any and all plaid shirts.;1
For always letting me know how he feels, reminded me of how lucky I am to be loved that much;1
I really appreciate how you try and convince me how im going to be fine even though I know I'm not;1
thanks for recognizing what i have been doing;1
Your so cute babe.;1
Really love the way you smile.;1
That good morning text made my day;1
I wanted you to know that you are the most precious human being to me;1
Always tell me I am fine the way I am when everyone is mocking my weight;1
You make me so proud of what I do, you tell me to be happy no matter what, thank you.;1 
You are a warm and caring person.;1
Dropping by with a bubble tea ;2
I really appreciate how you get me water;2
Thanks for packing me lunch!;2
Thanks for the massage honey.;2
Thanks for helping me with packing my stuff.;2
Thanks for the coffee this morning, I really needed it;2
Thank you for always being there with me through my ups and downs;2
Bringing me food I crave, without forgetting any single thing;2
Thank you for making breakfast, I didn't even ask.;2
Thanks for taking care of me while I had food poisoning.;2 
Ill pick him up from class.;2
Opening the window when I'm too lazy to get up;2
I really appreciate how you always make sure I have enough water and how you out everything in my pockets for me.;2
Thank you for cleaning up!;2
Thanks for prepping dinner boo.;2
Thanks for showing your care by cooking the meals for me during the times I was hungry.;2
Thanks for doing the dishes, I did NOT wanna do them;2
I truly appreciate your help for picking up the kids today boo, I was really busy on work today;2
Sacrificing herself to be in a hot room while I was sick and cannot turn on the air conditioner;2
Thank you for doing my laundry.;2
Thanks for getting dinner ready before I got home.;2
Giving me plushie and I have never had plushie my whole life;3
I love love love baby yoda, the good one;3
I really liked what you got me for my birthday, I am using it right now!;3
I love it when you buy me jewelry honey.;3
Thank you for the chocolates that you got for me. They were sweet like your love.;3
Oooh, you spoil me too much!;3
I can't believe you actually got me the wallet I have been wanting for Valentine's day. Thank you so much honey!;3
Always giving me gifts make sure I take care of my skins;3
You gave me paint brushes when I wanted to get creative, thats so amazing.;3
Thanks for getting me a new hairband.;3 
He'll pick me up coffee for us or I will.;3
Always buying me food and bubble tea;3
I really like the melon milk you got me;3 
Thank you for the gift!;3
Thanks for the cat necklace babe.;3
Thanks for remembering that I need a better communication device.;3
Oh my god thank you for the chocolate I love you;3
I love the new pair of shoe you got me for my birthday! It looks really good on me;3
Always buying me food;3
You gave me a vinyal of my favorite band, thats so sweet.;3
I really liked the new camera backpack that you got me.;3 
Spending time with me even though it's -12 outside with an ice storm;4
Thank you for tolerating my annoying ass for two straight days;4
I really enjoyed our time together when we were on the trip;4
I love spending time with you.;4
I really enjoyed our time together.;4
Spending the day with you today was great;4
I had a really good time skiing with you yesterday, It is easily one of my favorite moments with you babe;4
Going out to restaurants, trying new food;4
I love it when we cuddle, on weekends esspesually.;4
I really enjoyed hanging out with you in the park, just the two of us.;4 
We will spend time between classes even if only a couple minutes.;4
For taking coffee break and talk to me in the middle of your day;4
Thank you for always picking up my calls;4 
I like the quality time we spent together, can we do it more often? Lets see each other more often.;4
It was amazing to be with you and listen to your thoughts.;4
Lunch was nice, let's do it again sometime;4
I hope we can travel around Asia again soon, I love experiencing new activities together with you!;4
Going shopping with me even though I'm very terrible to shop with;4
I enjoy watching our favorite shows together, forgetting everything else in our lives.;4
I enjoy going on long walks with you after dinner.;4
Hug me as if things are going to be okay;5
I love how you hugged me for extended periods of time;5
I like it when you rub my back and my head;5
You feel so good babe.;5
I really enjoyed your sensational touch.;5
I love it when we cuddle, you're so comfy;5
I love it when you hold me while playing with my hair;5
Always hold my hands;5
I love it when you play with my hair.;5
I like it when you hug me before I leave for work.;5 
I never need to hear him say I love you cause I know from a hug or a hand squeeze.;5
Kiss me good bye;5
I love how you suddenly give me a good bye kiss;5
I like how we cuddle, let's do it more often;5
I love your hugs honey.;5
The way you touched different parts of my body made me feel loved.;5
It feels nice holding your hand in mine when we walk around;5 
I will see you in 2 days, I can't wait to cuddle and kiss you again!;5
Always hugs me as if you don't want me to go;5
i love how you hold me, when you get scared at night, makes me feel important.;5
I like cuddling with you in bed.;5 

 


